"","Estimate","2.5 %","97.5 %","iteration","predictor"
"countryEngland",0.843664463394274,0.75042821427599,0.946950513383861,10,"countryEngland"
"countryFrance",1.32827198270469,1.16213500734337,1.51467081265928,10,"countryFrance"
"countryGermany",0.790654837768665,0.701057780206429,0.890204571086927,10,"countryGermany"
"skintone:countryEngland",0.984551956251079,0.888711232973406,1.09014647511241,10,"skintone:countryEngland"
"skintone:countryFrance",0.879870603192346,0.781984114291917,0.988695088193121,10,"skintone:countryFrance"
"skintone:countryGermany",1.13541283784335,1.00604824241456,1.27778676132822,10,"skintone:countryGermany"
"(Intercept)",0.00277303069005906,0.00243750351586583,0.00314829437493465,11,"(Intercept)"
"skintone",1.08189877377138,1.00941946923058,1.15854079187664,11,"skintone"
"totalYellows",1.0133705786508,1.01021749294678,1.01654782087933,11,"totalYellows"
"height",1.08249550874084,1.00328016237029,1.16821218047676,11,"height"
"age",1.14762485930622,1.05728448395212,1.24592977904653,11,"age"
"wins.loss",0.799894463189393,0.745329491792775,0.857264445762937,11,"wins.loss"
"goals",1.09734407414975,1.00447981456794,1.1972399835658,11,"goals"
"posD",1.19645945517309,1.06076718960846,1.34939959689704,11,"posD"
"posG",1.48794486642384,1.20792239006248,1.82734717003298,11,"posG"
"posM",0.759348065909416,0.667889480277218,0.86258069980392,11,"posM"
"countryEngland",0.864078099597578,0.769014321083609,0.969329837574322,11,"countryEngland"
"countryFrance",1.28818953423807,1.12906973130139,1.46634247542739,11,"countryFrance"
"countryGermany",0.788437793290552,0.698918770503812,0.88781497322445,11,"countryGermany"
"skintone:countryEngland",1.02130324213795,0.921676220787272,1.13103718714124,11,"skintone:countryEngland"
"skintone:countryFrance",0.914732402416297,0.81196221894299,1.0290659590933,11,"skintone:countryFrance"
"skintone:countryGermany",1.12633079665535,0.995149719584893,1.27082913221547,11,"skintone:countryGermany"
"(Intercept)",0.00271758859344617,0.00239696610013623,0.0030749586929532,12,"(Intercept)"
"skintone",1.11187689864589,1.03885584376485,1.18886822370077,12,"skintone"
